breakpoint_index,date,n_signals_voting,weighted_vote,confidence,vol_change,vol_before,vol_after,vol_ratio,return_change,return_volatility,volume_change,range_vol
12290,2022-02-23 12:00:00,3,0.75,0.7443934956773153,2.808906084297083,0.0038284738879193884,0.008648754937838347,2.2590606505696997,0.007089945402548038,0.008165111392360758,0.0,0.047907007405057364
12292,2022-02-23 14:00:00,3,0.75,0.746330501982765,2.6574601893059393,0.004040139933881448,0.009230562641387233,2.2847135406143924,0.0010161241506898013,0.008236458462919123,0.0,0.04619122187532867
12300,2022-02-24 15:00:00,3,0.75,0.6682955350123213,0.8146753520844908,0.005897236045984359,0.009746993052686953,1.6528069779474632,0.014796408159192613,0.00833908817859761,0.0,0.05729421420550275
12370,2022-03-11 15:00:00,3,0.6,0.5703476469611448,0.47788760612692216,0.006485724408385886,0.004170202823689612,0.6429818007683861,0.004461265484862612,0.004828854937111659,0.0,0.060092160442134036
17660,2025-04-03 14:00:00,2,0.55,0.5815649138998555,3.1682464770092817,0.0033312728994945974,0.006851228156730714,2.0566396563026044,0.001266517573746618,0.007748803312732602,0.0,0.03626208983999604
17665,2025-04-04 12:00:00,3,0.75,0.7305868461123642,2.0754515476966606,0.0032857877914914077,0.008788112738678152,2.6745830920599256,0.002670264558564339,0.007643966668157729,0.0,0.0290192711424647
17670,2025-04-07 10:00:00,4,0.9,0.8640737950547859,0.7442222753775284,0.003507568419127793,0.010084878631626685,2.875176515193047,0.019608165247803386,0.007614708803675439,0.0,0.03677604795020335
17674,2025-04-07 14:00:00,3,0.6,0.6805794736759958,0.6697451905900553,0.004774360935751013,0.009293978594508541,1.9466434408529365,0.0032628580112176305,0.00817820360880315,0.0,0.047295130018930966
17705,2025-04-16 10:00:00,3,0.65,0.578433720034905,0.7366344567959138,0.0068617472350323335,0.004320422936908949,0.6296388843773407,0.0009131261262658927,0.004567881011991963,0.0,0.027533934081707047
17707,2025-04-16 12:00:00,3,0.65,0.5809669159364631,0.7328786388192323,0.0063910207345831875,0.0040033595898495995,0.6264037770283208,0.0007680091916281704,0.004561046139607765,0.0,0.02809398966824207
